title,views,descr
My father the forger,"
557,481
","
Sarah Kaminsky tells the extraordinary story of her father Adolfo and his activity during World War II — using his ingenuity and talent for forgery to save lives.
"
Remaking my voice,"
1,044,249
","
When film critic Roger Ebert lost his lower jaw to cancer, he lost the ability to eat and speak. But he did not lose his voice. In a moving talk from TED2011, Ebert and his wife, Chaz, with friends Dean Ornish and John Hunter, come together to tell his remarkable story.
"
Open-sourced blueprints for civilization,"
1,365,554
","
Using wikis and digital fabrication tools, TED Fellow Marcin Jakubowski is open-sourcing the blueprints for 50 farm machines, allowing anyone to build their own tractor or harvester from scratch. And that's only the first step in a project to write an instruction set for an entire self-sustaining village (starting cost: $10,000).
"
"Transplant cells, not organs","
598,492
","
Pioneering surgeon Susan Lim performed the first liver transplant in Asia. But a moral concern with transplants (where do donor livers come from ...) led her to look further, and to ask: Could we be transplanting cells, not whole organs? At the INK Conference, she talks through her new research, discovering healing cells in some surprising places.
"
A radical experiment in empathy,"
1,370,487
","
Can two countries at war dare to empathize with one another? Step by methodical step, sociologist Sam Richards gives his audience an extraordinary challenge: to allow a group of (mainly) Americans to understand — not approve of, but understand — the motivations of an Iraqi insurgent. A powerful talk.
"
On being wrong,"
3,418,813
","
Most of us will do anything to avoid being wrong. But what if we're wrong about that? ""Wrongologist"" Kathryn Schulz makes a compelling case for not just admitting but embracing our fallibility.
"
Teaching with the World Peace Game,"
1,288,344
","
John Hunter puts all the problems of the world on a 4'x5' plywood board — and lets his 4th-graders solve them. At TED2011, he explains how his World Peace Game engages schoolkids, and why the complex lessons it teaches — spontaneous, and always surprising — go further than classroom lectures can.
"
What it takes to do extreme astrophysics,"
521,057
","
All over the planet, giant telescopes and detectors are looking (and listening) for clues to the workings of the universe. At the INK Conference, science writer Anil Ananthaswamy tours us around these amazing installations, taking us to some of the most remote and silent places on Earth.
"
Militant atheism,"
4,036,585
","
Richard Dawkins urges all atheists to openly state their position — and to fight the incursion of the church into politics and science. A fiery, funny, powerful talk.
"
3 things I learned while my plane crashed,"
5,975,868
","
Ric Elias had a front-row seat on Flight 1549, the plane that crash-landed in the Hudson River in New York in January 2009. What went through his mind as the doomed plane went down? At TED, he tells his story publicly for the first time.
"
Are we ready for neo-evolution?,"
988,146
","
Medical ethicist Harvey Fineberg shows us three paths forward for the ever-evolving human species: to stop evolving completely, to evolve naturally — or to control the next steps of human evolution, using genetic modification, to make ourselves smarter, faster, better. Neo-evolution is within our grasp. What will we do with it?
"
The security mirage,"
679,979
","
The feeling of security and the reality of security don't always match, says computer-security expert Bruce Schneier. In his talk, he explains why we spend billions addressing news story risks, like the ""security theater"" now playing at your local airport, while neglecting more probable risks — and how we can break this pattern.
"
Using nature to grow batteries,"
822,946
","
Inspired by an abalone shell, Angela Belcher programs viruses to make elegant nanoscale structures that humans can use. Selecting for high-performing genes through directed evolution, she's produced viruses that can construct powerful new batteries, clean hydrogen fuels and record-breaking solar cells. In her talk, she shows us how it's done.
"
A next-generation digital book,"
1,459,326
","
Software developer Mike Matas demos the first full-length interactive book for the iPad — with clever, swipeable video and graphics and some very cool data visualizations to play with. The book is ""Our Choice,"" Al Gore's sequel to ""An Inconvenient Truth."" 
"
Turning trash into toys for learning,"
1,236,851
","
At the INK Conference, Arvind Gupta shares simple yet stunning plans for turning trash into seriously entertaining, well-designed toys that kids can build themselves — while learning basic principles of science and design. 
"
"The mothers who found forgiveness, friendship","
752,086
","
Phyllis Rodriguez and Aicha el-Wafi have a powerful friendship born of unthinkable loss. Rodriguez' son was killed in the World Trade Center attacks on September 11, 2001; el-Wafi's son Zacarias Moussaoui was convicted of a role in those attacks and is serving a life sentence. In hoping to find peace, these two moms have come to understand and respect one another.
"
Architecture that senses and responds,"
626,115
","
With his team at SENSEable City Lab, MIT's Carlo Ratti makes cool things by sensing the data we create. He pulls from passive data sets — like the calls we make, the garbage we throw away — to create surprising visualizations of city life. And he and his team create dazzling interactive environments from moving water and flying light, powered by simple gestures caught through sensors.
"
